,date,helpful,name,rating,review_body,review_title
101,14 July 2019,,Amazon Customer,5.0 out of 5 stars,"Could get any other phone at this priceBut for basic use it is good
","Good
"
102,12 May 2019,,Bhavin Bhatti,5.0 out of 5 stars,"Excellent Mobile...At 8550 4gb rab 64gb internal memory
","Excellent Mobile
"
103,23 June 2019,,Vishal,4.0 out of 5 stars,"Value for money but some times its applications not work well Bluetooth not work when that happens then I have to restart my device or it also have very old os and android version
","Fine
"
104,3 August 2019,,Nabajyoti bera,5.0 out of 5 stars,"good budge phone
","good budge phone
"
105,2 June 2019,,Amazon Customer,5.0 out of 5 stars,"A very good mobile phone.
","Honor 9N
"
106,15 July 2019,,Chandresh kumar,4.0 out of 5 stars,"Nice Product. Camera is little weak rest is good. Works well
","Nice Phone Under 10000
"
107,29 June 2019,One person found this helpful,Siva Subramanyam Kunam,1.0 out of 5 stars,"Touch is not working in middle of the screen and getting lot of heating
","Waste to buy it
"
108,2 August 2019,,ruchi malik,4.0 out of 5 stars,"Excellent mobile phone 📱 battery life is not good
","About nice 👍 phone
"
109,22 July 2019,,Sumit,5.0 out of 5 stars,"Got at 8999 4+64Quality is better than mi phonesDisplay face, recognition, camera and fingerprint scanner are awesome.Very handy and sexy look.
","Excellent
"
110,15 July 2019,,Nirmal K.,5.0 out of 5 stars,"Bought this phone again for another family member as its good and has no complaints
","Second phone
"
111,10 July 2019,2 people found this helpful,M,1.0 out of 5 stars,"No
","No
"
112,2 July 2019,,Adamya,5.0 out of 5 stars,"Very good phone in budget....Every thing is working nicely.The camera quality is awesome, battery life is also good. I am loving it.. Worth buying...Thanks to Amazon...
","Supurb Phone
"
113,30 June 2019,,Abhishek Raye,5.0 out of 5 stars,"Good phone
","Good phone
"
114,23 June 2019,,Ajay Rana,1.0 out of 5 stars,"I needed a dual 4g active phone but you selling the same description on all phone and I needed honour 10i lite but bought this. A mistake has done.
","Needed dual 4g Active
"
115,28 May 2019,,Md HuSsain,5.0 out of 5 stars,"Honor 9n Performance is very goodI thank the phone and the company for this, as well as Amazon Shopping Company.
","Thank you Amazon and Honor Company
"
116,24 June 2019,,Ashish,4.0 out of 5 stars,"Phone is very good with almost 1 day battery life, that is sufficientCamera is above avrageFingerprint Reader and face Recognition works smooth
","Value for money
"
117,1 August 2019,,Suresh Makwana,5.0 out of 5 stars,"Nice products
","Nice
"
118,29 July 2019,,Anandraj,4.0 out of 5 stars,"I like it
","It's okay
"
119,25 July 2019,,Jitender Sharma,1.0 out of 5 stars,"Phone is good but battery is very poor.. Camera is very bad n quality is very poor for pictures..don't waste ur money..not return policy only replacement
","Wrost product
"
120,11 May 2019,One person found this helpful,musthafa,1.0 out of 5 stars,"Bad prodect getting very slow & hanging
","Honer
"
121,7 August 2019,,Nandan Phansekar ,5.0 out of 5 stars,"Really happy with the phone at dis cost
","Thankyou Amazon and honour for low cost fully loaded phone  phone
"
122,27 May 2019,,Senju george,4.0 out of 5 stars,"Ok
","Ok
"
123,18 July 2019,One person found this helpful,Chandra,1.0 out of 5 stars,"High Battery drainage, very worst phone, we want to replace it.
","Poor battery performance mobile
"
124,30 July 2019,,Mueed,5.0 out of 5 stars,"Overall good
","Good
"
125,19 July 2019,One person found this helpful,Mo Haseen,1.0 out of 5 stars,"Not good product this device is bed quality return my product
","This device is very bed
"
126,27 June 2019,,vishnu agrawal,1.0 out of 5 stars,"I not able to download any app through play store. Called honor customer care thrice and thrice amazon but not reached any conclusion. Want to return this.
","Not able to download.
"
127,6 July 2019,,R Y Ganesh,4.0 out of 5 stars,"over all good
","Good phone
"
128,27 July 2019,,Amazon Customer,5.0 out of 5 stars,"SUPERB
","SUPERB
"
129,21 June 2019,,Jothimani S,5.0 out of 5 stars,"I love honor always.Best mobile among all.
","No 1 Honor
"
130,16 July 2019,One person found this helpful,Amazon Customer,1.0 out of 5 stars,"Very bad quality of camera and customer service of amazon executive
","Very bad experience with amazon on this order
"
131,21 June 2019,,Ashish Saxena,5.0 out of 5 stars,"Product is good but I did not get any discount of RS 1500 which was applicable with ICICI debit card.
","No cash back received
"
132,12 July 2019,One person found this helpful,Asifa Bagwan,1.0 out of 5 stars,"Poor battery life, Takes lots of time to charge, fast battery drain
","Go for another option
"
133,28 July 2019,,Masood,2.0 out of 5 stars,"Phone getting hot while playing a small game, battery is draining very quick and touch is worst then worst....Jaisa Paisa waisa model...
","Jaise Paise Waisi Service...
"
